unspsc,root_domain,page_url,product_title,product_summary,product_name,product_identifier,brand,intended_industries,applicability,eco_friendly,ethical_and_sustainability_practices,production_capacity,price,materials,ingredients,manufacturing_countries,manufacturing_year,manufacturing_type,customization,packaging_type,form,size,color,purity,energy_efficiency,pressure_rating,power_rating,quality_standards_and_certifications,miscellaneous_features,description
Sewing and stitchery and weaving equipment and accessories,studio-atcoat.com,https://studio-atcoat.com/1372696759/?idx=510,Glimakra Warping Board (8m),"The Glimakra Warping Board is designed for use with floor looms, providing a stable and comfortable working surface. It is 8 meters in length and is priced at 159,0000원.",Warping Board,[],,['Textile'],['use with floor looms'],,[],[],"[{'amount': 159000.0, 'currency': 'KRW', 'type': 'exact'}]",[],[],[],-1,[],[],[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'm', 'value': '8'}]",[],[],,[],[],[],[],"The ""Warping Board"" is designed for use with floor looms, offering a stable and comfortable working surface."
Electric alternating current AC motors,worm-gears.net,https://worm-gears.net/tag/worm-gear-box/,NMRV Worm Gearbox Motor,"The NMRV Worm Gearbox Motor is a high-efficiency gear box motor designed for various industrial applications. It features a power rating of 0.06KW, 0.09KW, 0.12KW, 0.18KW, 0.25KW, 0.37KW, 0.55KW, 0.75KW, 1.1KW, 1.5KW, 2.2KW, 4KW, 5.5KW, 7.5KW, 11KW, and 15KW. It is available in IEC flange sizes 56B5, 56B14, 63B5, 63B14, 71B5, 71B14, 80B5, 80B14, 90B5, 90B14, 100B5, 100B14, 112B5, 112B14, 132B5, 160B5. The gearbox offers a reduction ratio of 1:7.5, 10, 15, 20, 25, 30, 40, 50, 60, 80, and 100. The housing is made from die-solid aluminum alloy for RV25-RV90 and die-cast solid iron for RV110 to RV150. The worm is made from 20CrMnTi with carburizing and quenching, and the surface harness is 56-62HRC. The shaft is made from chromium steel-45#. The gearbox is available in blue, silver, or other colors as per customer requirements. It is suitable for omnibearing installation and offers high radiation efficiency and good service life. The product is manufactured in China and comes with a 1-year warranty.",Worm Gearbox Motor,[],,['Industrial'],['industrial applications'],,[],[],[],[],[],['CN'],-1,[],[],[],[],[],"[{'original': 'Blue', 'simple': 'Blue'}
 {'original': 'Silver', 'simple': 'Gray'}]",[],,[],"[{'qualitative': False, 'type': 'min', 'unit': 'kW', 'value': '0.06'}
 {'qualitative': False, 'type': 'max', 'unit': 'kW', 'value': '15.0'}]",[],"['Omnibearing installation' 'High radiation efficiency'
 'Good service life']","The ""Worm Gearbox Motor"" is a high-efficiency gear box motor designed for various industrial applications. It features a reduction ratio of 1:7.5, 10, 15, 20, 25, 30, 40, 50, 60, 80, and 100, and is made from materials such as die-solid aluminum alloy and die-cast solid iron. The motor is suitable for omnibearing installation and offers high radiation efficiency and a good service life. It is manufactured in China and comes with a 1-year warranty."
Vehicle trim and exterior covering,customcarcoverco.com,https://customcarcoverco.com/collections/vendors?filter.p.m.my_fields.make=NISSAN&filter.p.m.my_fields.make=CATERHAM&q=Custom+Car+Cover+Company,Nissan R33 GTR Car Cover,"A custom car cover designed for the Nissan R33 GTR model. This cover can be personalized with custom brand logos, graphics, and company logos.",Car Cover,[],,['Automotive'],['protecting vehicles from the elements'],,[],[],[],[],[],[],-1,[],"['Customizable with custom brand logos, graphics, and company logos']",[],[],[],[],[],,[],[],[],"['Personalization with custom brand logos, graphics, and company logos']","The ""Car Cover"" is a custom-designed cover tailored for the Nissan R33 GTR model. It offers personalization options, including the ability to feature custom brand logos, graphics, and company logos, making it a unique accessory for car enthusiasts and collectors."
Pipe connectors,plumbmaster.com,https://www.plumbmaster.com/search?q=wolverine+brass%3Arelevance%3AmanufacturerName%3AWolverine+Brass%3AmanufacturerName%3ANiagara%3AmanufacturerName%3ASpeakman,Flexible Fittings,"Flexible fittings for plumbing applications, allowing for movement and flexibility in installation.",Flexible Fittings,[],,['Plumbing'],['plumbing installations'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],,[],[],[],['allows for movement' 'flexibility in installation'],"""Flexible Fittings"" are designed for plumbing applications, enabling movement and flexibility in installation."
Doors,sogno.in,http://www.sogno.in/product-detail-CST-HGD-33103-877.html,CST-HGD-33103 Hinged Closet Door,"The CST-HGD-33103 Hinged Closet Door is a meticulously designed and crafted storage solution, embodying a blend of Italian craftsmanship and German engineering. This closet door is part of the extensive range of closet doors offered by the brand, known for their innovative design and high-quality materials. The CST-HGD-33103 model features a hinged design, which provides smooth and efficient operation, making it an ideal choice for modern closets. The product is designed to meet the needs of various storage requirements, ensuring both functionality and aesthetic appeal. The door is likely to be made from durable materials, ensuring longevity and resistance to wear and tear. The manufacturing process adheres to stringent quality standards, ensuring that each door meets the highest levels of performance and reliability. This closet door is suitable for use in residential or commercial settings, offering a versatile solution for organizing and storing clothing, accessories, and other items. The product's design and build quality reflect a commitment to quality and customer satisfaction, making it a reliable choice for those looking to enhance their storage space.",Hinged Closet Door,[],CST,['Home Appliances' 'Construction'],['Closet Storage'],,[],[],[],[],[],['IT'],-1,[],[],[],[],[],[],[],,[],[],[],"['Italian craftsmanship' 'German engineering'
 'Smooth and efficient operation']","The ""Hinged Closet Door"" is a storage solution crafted with Italian craftsmanship and German engineering, designed for smooth and efficient operation. This closet door, part of a range known for innovative design and high-quality materials, is suitable for both residential and commercial settings, offering a versatile solution for organizing and storing clothing, accessories, and other items. It is likely made from durable materials, ensuring longevity and resistance to wear and tear, and adheres to stringent quality standards to ensure reliability."
Faucets or taps,plumbmaster.com,https://www.plumbmaster.com/search?q=wolverine+brass%3Arelevance%3AmanufacturerName%3AWolverine+Brass%3AmanufacturerName%3ANiagara%3AType%3ARight+Hand+Hot+and+Left+Hand+Cold,Deep Faucets,"Faucets with a deep design, providing a secure and stable connection in plumbing systems.",Deep Faucets,[],,['Plumbing'],[],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],,[],[],[],['deep design' 'secure and stable connection'],"""Deep Faucets"" are designed with a deep design to ensure a secure and stable connection in plumbing systems."
Dispensing tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+15k-foot-operated-high-volume-control-gun,10K Dry Shut-Off Gun Handle Assembly,The 10K Dry Shut-Off Gun Handle Assembly is a component of the 10K Dry Shut-Off control gun. It is designed to provide a secure and efficient connection for high-pressure water blasting operations.,Dry Shut-Off Gun Handle Assembly,[],,['Manufacturing'],['High-Pressure Water Blasting Operations'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],,"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[],[],[],"The ""Dry Shut-Off Gun Handle Assembly"" is a component of the 10K Dry Shut-Off control gun, designed to ensure a secure and efficient connection for high-pressure water blasting operations."
Medical facility materials handling and distribution equipment,armstrongmedical.com,https://www.armstrongmedical.com//cart-systems/?color=Hunter%20Green%2cTaupe%2cSilver,Cranberry Cart Systems,"Cranberry Cart Systems are part of the Armstrong Medical product line, designed for various medical and healthcare applications. These cart systems are available in Cranberry color, providing a vibrant and eye-catching look.",Cranberry Cart Systems,[],Armstrong Medical,['Healthcare'],['medical and healthcare applications'],,[],[],[],[],[],[],-1,[],[],[],[],[],"[{'original': 'Cranberry', 'simple': 'Red'}]",[],,[],[],[],['vibrant and eye-catching look'],"""Cranberry Cart Systems"" from the Armstrong Medical product line are designed for use in medical and healthcare applications. These cart systems are distinguished by their vibrant Cranberry color, enhancing their visual appeal in medical settings."
Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+zero-thrust-gun+20k-double-dump-control-gun,10K Air Operated Control Gun,"An air operated control gun designed for water blasting operations, featuring a 10K size. Suitable for various applications requiring precise control and efficiency.",Air Operated Control Gun,[],,['Manufacturing'],['water blasting operations'],,[],[],[],[],[],[],-1,[],[],[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],,[],[],[],[],"The ""Air Operated Control Gun"" is designed for water blasting operations, featuring a 10K size. It is suitable for various applications that require precise control and efficiency."
Tshirts,workwonderly.com,https://www.workwonderly.com/tags/Medicine/color/blue%7Cgrey%7Cred%7Cwhite/product/longsleeve,5 THINGS YOU SHOULD KNOW ABOUT MY NURSE PRACTITIONER Long Sleeve Tee,"A long sleeve tee with the message '5 THINGS YOU SHOULD KNOW ABOUT MY NURSE PRACTITIONER'. Available in various colors including blue, grey, red, and white.",Long Sleeve Tee,[],,['Fashion' 'Retail'],['Wearing'],,[],[],[],[],[],[],-1,[],[],[],[],[],"[{'original': 'Blue', 'simple': 'Blue'}
 {'original': 'Grey', 'simple': 'Gray'}
 {'original': 'Red', 'simple': 'Red'}
 {'original': 'White', 'simple': 'White'}]",[],,[],[],[],['Long sleeve'],"The ""Long Sleeve Tee"" is a long sleeve t-shirt featuring a humorous message about nursing professionals, available in colors such as blue, grey, red, and white."
